Wavelength(um),Transmittance,SEBSControl,05um,1um,2um,4um,8um
3.3,0.3440281175,0.02375685251,0.02439993041,0.02184420962,0.02482635147,0.0278123377,0.02495551186
3.31,0.3440281175,0.02088980739,0.02124553004,0.01861481422,0.02224541036,0.02450622957,0.02189471134
3.32,0.3440281175,0.009277256882,0.01005674449,0.007334164476,0.009882192112,0.01163766844,0.009450596769
3.33,0.3669822388,0.01103213846,0.01192564285,0.009216833319,0.01191890919,0.01332256194,0.01126659085
3.34,0.3669822388,0.01197012202,0.01266084483,0.01016850657,0.0130126583,0.01460560005,0.01222034054
3.35,0.4147334243,0.01821699927,0.01879497914,0.01661167229,0.01939093805,0.02112411792,0.01841147148
3.36,0.4147334243,0.03955640578,0.04035140463,0.03908091706,0.04070633109,0.04235909632,0.03922557107
3.37,0.4147334243,0.08909975266,0.09011160418,0.09020056929,0.09074051839,0.09257014518,0.08855663708
3.38,0.44545331,0.1220634589,0.1241331347,0.1240195788,0.1237272533,0.1252511908,0.1205867844
3.39,0.44545331,0.1094967658,0.1123735387,0.1120377665,0.111513843,0.113219087,0.1089010843
3.4,0.5871816717,0.1698941605,0.1715269793,0.1726998498,0.1724585195,0.1768140257,0.1707462431
3.41,0.5871816717,0.301887007,0.30183668,0.3048363813,0.3054799948,0.3123088486,0.3036407771
3.42,0.5871816717,0.4385013152,0.4415592453,0.4476570305,0.4447109027,0.4511485128,0.4390722585
3.43,0.62305416,0.42426434,0.4334482713,0.4417650791,0.4321647891,0.4326312159,0.421234025
3.44,0.62305416,0.3103431149,0.310496272,0.3170299084,0.3126327317,0.3175839524,0.3092482703
3.45,0.62305416,0.229627294,0.2288166502,0.2333926035,0.2309357435,0.2363218419,0.2295443374
3.46,0.649816176,0.1613231524,0.1618316813,0.1651949217,0.1638262971,0.1674017098,0.1618825125
3.47,0.649816176,0.1233346263,0.1240082707,0.126179234,0.1263868025,0.1300313961,0.1240411439
3.48,0.655367872,0.1323929857,0.132979933,0.1342073129,0.135262703,0.1398711786,0.1335703627
3.49,0.655367872,0.153659205,0.1535150281,0.154313342,0.1554970214,0.1618569666,0.1558344867
3.5,0.655367872,0.271845854,0.2712323477,0.2744560173,0.2733088964,0.2812072139,0.273475193
3.51,0.6919877025,0.3098879395,0.31717126,0.324902324,0.3150020739,0.3167322197,0.3065280376
3.52,0.6919877025,0.132376143,0.1352733684,0.138736072,0.135163449,0.1368481356,0.1314812867
3.53,0.7362945,0.0496655845,0.0507015163,0.0503005036,0.05213519351,0.05401148711,0.05117928328
3.54,0.7362945,0.02818692327,0.02898065342,0.02724989021,0.03090533987,0.03312045847,0.03064558762
3.55,0.7362945,0.01976814181,0.0202094369,0.01798767512,0.02246805728,0.02502902903,0.02199334647
3.56,0.75373251,0.0147435139,0.01517424769,0.01270274714,0.01714295753,0.01975319726,0.01664266135
3.57,0.75373251,0.01107766324,0.01217593117,0.009641498624,0.01329331321,0.01539450281,0.01279535876
3.58,0.75373251,0.008549385124,0.009696286436,0.00724332092,0.01002091641,0.01215195109,0.00991356368
3.59,0.76013832,0.006529312092,0.007338903209,0.004839802058,0.007775927144,0.009683340338,0.007564968485
3.6,0.76013832,0.004709012749,0.005190201773,0.00275345193,0.006020029,0.007974039477,0.005879489575
3.61,0.76654412,0.003245911327,0.003682324383,0.0009955396394,0.004629365115,0.006771848918,0.004782476615
3.62,0.76654412,0.002513556869,0.002929652634,0.0004200270498,0.00409525579,0.006064944577,0.004188807516
3.63,0.76654412,0.002476331767,0.002580153002,0.0001096654188,0.004021644855,0.005597973449,0.003938849958
3.64,0.77437343,0.002518151817,0.00270050156,0.000360285865,0.003867747219,0.005561338282,0.003837933235
